player_id,player_name,country,position,team_id,shirt_number
iran_amirmohammad_razzaghinia,Amirmohammad Razzaghinia,Iran,Midfielder,iran,26
egypt_mohamed_el_shenawy,Mohamed El Shenawy,Egypt,Goalkeeper,egypt,1
egypt_yasser_ibrahim,Yasser Ibrahim,Egypt,Defender,egypt,2
egypt_mohamed_hany,Mohamed Hany,Egypt,Defender,egypt,3
egypt_hossam_abdelmaguid,Hossam Abdelmaguid,Egypt,Defender,egypt,4
egypt_ramy_rabia,Ramy Rabia,Egypt,Defender,egypt,5
egypt_mohamed_abdelmonem,Mohamed Abdelmonem,Egypt,Defender,egypt,6
egypt_emam_ashour,Emam Ashour,Egypt,Midfielder,egypt,8
egypt_hamza_abdelkarim,Hamza Abdelkarim,Egypt,Forward,egypt,9
egypt_mostafa_ziko,Mostafa Ziko,Egypt,Midfielder,egypt,11
egypt_ahmed_fatouh,Ahmed Fatouh,Egypt,Defender,egypt,13
egypt_hamdy_fathy,Hamdy Fathy,Egypt,Midfielder,egypt,14
egypt_karim_hafez,Karim Hafez,Egypt,Defender,egypt,15
egypt_el_mahdy_soliman,El Mahdy Soliman,Egypt,Goalkeeper,egypt,16
egypt_mohanad_lasheen,Mohanad Lasheen,Egypt,Midfielder,egypt,17
egypt_nabil_emad,Nabil Emad,Egypt,Midfielder,egypt,18
egypt_marwan_attia,Marwan Attia,Egypt,Midfielder,egypt,19
egypt_ibrahim_adel,Ibrahim Adel,Egypt,Forward,egypt,20
egypt_mahmoud_saber,Mahmoud Saber,Egypt,Midfielder,egypt,21
egypt_mostafa_shobeir,Mostafa Shobeir,Egypt,Goalkeeper,egypt,23
egypt_tarek_alaa,Tarek Alaa,Egypt,Defender,egypt,24
egypt_zizo,Zizo,Egypt,Forward,egypt,25
egypt_mohamed_alaa,Mohamed Alaa,Egypt,Goalkeeper,egypt,26
new_zealand_francis_de_vries,Francis de Vries,New Zealand,Defender,new_zealand,3
new_zealand_jesse_randall,Jesse Randall,New Zealand,Forward,new_zealand,21
spain_lamine_yamal,Lamine Yamal,Spain,Forward,spain,19
spain_victor_munoz,Víctor Muñoz,Spain,Forward,spain,25
uruguay_sergio_rochet,Sergio Rochet,Uruguay,Goalkeeper,uruguay,1
uruguay_sebastian_caceres,Sebastián Cáceres,Uruguay,Defender,uruguay,3
uruguay_nicolas_de_la_cruz,Nicolás de la Cruz,Uruguay,Midfielder,uruguay,7
uruguay_giorgian_de_arrascaeta,Giorgian de Arrascaeta,Uruguay,Midfielder,uruguay,10
uruguay_guillermo_varela,Guillermo Varela,Uruguay,Defender,uruguay,13
uruguay_agustin_canobbio,Agustín Canobbio,Uruguay,Midfielder,uruguay,14
uruguay_matias_vina,Matías Viña,Uruguay,Defender,uruguay,17
uruguay_brian_rodriguez,Brian Rodríguez,Uruguay,Forward,uruguay,18
uruguay_rodrigo_aguirre,Rodrigo Aguirre,Uruguay,Forward,uruguay,19
uruguay_maximiliano_araujo,Maximiliano Araújo,Uruguay,Midfielder,uruguay,20
uruguay_federico_vinas,Federico Viñas,Uruguay,Forward,uruguay,21
uruguay_joaquin_piquerez,Joaquín Piquerez,Uruguay,Midfielder,uruguay,22
uruguay_juan_manuel_sanabria,Juan Manuel Sanabria,Uruguay,Midfielder,uruguay,25
saudi_arabia_musab_al_juwayr,Musab Al-Juwayr,Saudi Arabia,Midfielder,saudi_arabia,7
saudi_arabia_alaa_al_hejji,Alaa Al-Hejji,Saudi Arabia,Midfielder,saudi_arabia,18
saudi_arabia_ahmed_al_kassar,Ahmed Al-Kassar,Saudi Arabia,Goalkeeper,saudi_arabia,22
saudi_arabia_mohamed_kanno,Mohamed Kanno,Saudi Arabia,Midfielder,saudi_arabia,23
saudi_arabia_jehad_thakri,Jehad Thakri,Saudi Arabia,Defender,saudi_arabia,25
saudi_arabia_mohammed_abu_al_shamat,Mohammed Abu Al-Shamat,Saudi Arabia,Defender,saudi_arabia,26
cape_verde_vozinha,Vozinha,Cape Verde,Goalkeeper,cape_verde,1
cape_verde_stopira,Stopira,Cape Verde,Defender,cape_verde,2
cape_verde_diney,Diney,Cape Verde,Defender,cape_verde,3
cape_verde_kevin_pina,Kevin Pina,Cape Verde,Midfielder,cape_verde,6
cape_verde_jovane_cabral,Jovane Cabral,Cape Verde,Midfielder,cape_verde,7
cape_verde_gilson_benchimol,Gilson Benchimol,Cape Verde,Forward,cape_verde,9
cape_verde_marcio_rosa,Márcio Rosa,Cape Verde,Goalkeeper,cape_verde,12
cape_verde_laros_duarte,Laros Duarte,Cape Verde,Midfielder,cape_verde,15
cape_verde_yannick_semedo,Yannick Semedo,Cape Verde,Midfielder,cape_verde,16
cape_verde_willy_semedo,Willy Semedo,Cape Verde,Midfielder,cape_verde,17
cape_verde_dailon_livramento,Dailon Livramento,Cape Verde,Forward,cape_verde,19
cape_verde_kelvin_pires,Kelvin Pires,Cape Verde,Defender,cape_verde,25
france_robin_risser,Robin Risser,France,Goalkeeper,france,23
senegal_abdoulaye_seck,Abdoulaye Seck,Senegal,Defender,senegal,4
senegal_cherif_ndiaye,Cherif Ndiaye,Senegal,Forward,senegal,12
senegal_ibrahim_mbaye,Ibrahim Mbaye,Senegal,Forward,senegal,20
senegal_bara_sapoko_ndiaye,Bara Sapoko Ndiaye,Senegal,Midfielder,senegal,22
norway_henrik_falchener,Henrik Falchener,Norway,Defender,norway,25
iraq_fahad_talib,Fahad Talib,Iraq,Goalkeeper,iraq,1
